鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態
北區,房地(土地+建物)+車位,乾溝子段151~180地號,27.31,商,,,10512,七層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,198.9,4,2,2,有,無,23880000,167855,坡道平面,72.72,2700000,,2(資料揭露)
北區,房地(土地+建物)+車位,乾溝子段151~180地號,29.59,商,,,10511,六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,222.98,4,2,2,有,無,28700000,173033,坡道平面,72.72,2700000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,景美段1~30地號,27.31,商,,,10607,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,173.98,4,2,2,有,無,10400000,64991,坡道平面,29.96,1040000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,景美段1~30地號,27.31,商,,,10607,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,173.98,4,2,2,有,無,10480000,66449,坡道平面,29.96,910000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,景美段1~30地號,20.53,商,,,10606,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,142.06,3,2,2,有,無,8300000,66815,坡道平面,29.96,810000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,景美段1~30地號,27.31,商,,,10604,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,173.99,4,2,2,有,無,10550000,66931,坡道平面,29.96,910000,此戶為聯名戶,2(資料揭露)
北屯區,房地(土地+建物)+車位,景美段1~30地號,27.31,商,,,10605,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,173.98,4,2,2,有,無,10570000,67074,坡道平面,29.96,910000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,景美段1~30地號,20.53,商,,,10605,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,142.06,3,2,2,有,無,8450000,67261,坡道平面,29.96,910000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,景美段1~30地號,27.31,商,,,10608,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,173.98,4,2,2,有,無,10500000,67282,坡道平面,29.96,810000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,景美段1~30地號,20.34,商,,,10606,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,144.21,3,2,2,有,無,8500000,67309,坡道平面,29.96,810000,此戶為聯名戶,2(資料揭露)
