鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態
南區,房地(土地+建物)+車位,樹子腳段661~690地號,18.15,住,,,10802,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,138.71,2,2,1,有,無,7080000,60636,坡道平面,38.44,1000000,親友、員工或其他特殊關係間之交易。;,2(資料揭露)
南區,房地(土地+建物)+車位,樹子腳段661~690地號,18.37,住,,,10805,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,140,2,2,1,有,無,7330000,61737,坡道平面,38.44,1060000,親友、員工或其他特殊關係間之交易。;,2(資料揭露)
南區,房地(土地+建物),下橋子頭段181~210地號,15.6,住,,,10801,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,94.88,2,2,1,有,無,6080000,64081,,0,0,,2(資料揭露)
南區,房地(土地+建物)+車位,樹子腳段661~690地號,25.5,住,,,10807,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,173.35,3,2,2,有,無,9800000,64858,坡道平面,38.44,1050000,,2(資料揭露)
南區,房地(土地+建物)+車位,樹子腳段661~690地號,25.5,住,,,10805,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,173.35,3,2,2,有,無,9800000,64858,坡道平面,38.44,1050000,,2(資料揭露)
南區,房地(土地+建物)+車位,樹子腳段661~690地號,25.28,住,,,10806,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,170.61,3,2,2,有,無,9900000,65681,坡道平面,37.39,1150000,,2(資料揭露)
南區,房地(土地+建物)+車位,樹子腳段661~690地號,18.15,住,,,10708,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,137.66,2,2,1,有,無,7660000,65822,坡道平面,37.39,1060000,,2(資料揭露)
南區,房地(土地+建物)+車位,樹子腳段661~690地號,18.37,住,,,10708,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,138.95,2,2,1,有,無,7680000,65872,坡道平面,37.39,990000,,2(資料揭露)
南區,房地(土地+建物)+車位,樹子腳段661~690地號,27.01,住,,,10808,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,186.52,3,2,2,有,無,10820000,65978,坡道平面,38.44,1050000,,2(資料揭露)
南區,房地(土地+建物)+車位,樹子腳段661~690地號,18.15,住,,,10709,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,137.66,2,2,1,有,無,7620000,66121,坡道平面,37.39,990000,,2(資料揭露)
南區,房地(土地+建物)+車位,樹子腳段661~690地號,25.28,住,,,10711,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,170.61,3,2,2,有,無,9800000,66131,坡道平面,37.39,990000,,2(資料揭露)
南區,房地(土地+建物)+車位,樹子腳段661~690地號,18.15,住,,,10710,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,138.71,2,2,1,有,無,7700000,66321,坡道平面,38.44,1050000,,2(資料揭露)
