鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態
北屯區,房地(土地+建物)+車位,仁美段1741~1770地號,16.9,住,,,10610,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,149.31,3,2,2,有,無,10200000,73459,坡道平面,24.75,1050000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,仁美段1741~1770地號,21.13,住,,,10610,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,185.77,4,2,2,有,無,12790000,73550,坡道平面,26.83,1100000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,仁美段1741~1770地號,16.9,住,,,10612,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,149.31,3,2,2,有,無,10500000,76670,坡道平面,24.75,950000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,仁美段1741~1770地號,21.13,住,,,10702,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,186.07,4,2,2,有,無,13420000,76740,坡道平面,26.83,1200000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,仁美段1741~1770地號,16.9,住,,,10612,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,149.31,3,2,2,有,無,10500000,76747,坡道平面,26.83,1100000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,仁美段1741~1770地號,21.13,住,,,10702,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,185.45,4,2,2,有,無,13300000,76913,坡道平面,26.83,1100000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,仁美段1741~1770地號,16.9,住,,,10611,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,149.31,3,2,2,有,無,10500000,77155,坡道平面,26.83,1050000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,仁美段1741~1770地號,16.9,住,,,10611,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,149.31,3,2,2,有,無,10630000,77809,坡道平面,26.83,1100000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,仁美段1741~1770地號,21.13,住,,,10703,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,185.77,4,2,2,有,無,13580000,77891,坡道平面,26.83,1200000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,仁美段1741~1770地號,16.9,住,,,10610,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,149.31,3,2,2,有,無,10950000,78677,坡道平面,24.75,1150000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,仁美段1741~1770地號,21.13,住,,,10703,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,185.77,4,2,2,有,無,13750000,78961,坡道平面,26.83,1200000,,2(資料揭露)
