鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,19.06,住,,,10808,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,150.84,3,1,2,有,無,9540000,66382,坡道平面,26.71,1300000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,20.92,住,,,10902,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,162.27,3,1,2,有,無,10200000,66391,坡道平面,26.71,1200000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,24.17,住,,,10902,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,182.71,4,1,2,有,無,11760000,66410,坡道平面,26.71,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,18.14,商,,,10904,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,193.48,4,2,2,有,無,12510000,66410,坡道平面,26.94,1450000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,15.71,商,,,10809,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,131.9,2,2,1,有,無,8560000,66456,坡道平面,24.16,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,13.89,商,,,10808,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,112.57,2,2,1,有,無,7130000,66457,坡道機械,17.32,800000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,13.89,商,,,10808,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,0,119.41,2,2,1,有,無,7630000,66457,坡道平面,24.16,1300000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,19.06,住,,,10809,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,150.84,3,1,2,有,無,9450000,66463,坡道平面,26.71,1200000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.39,商,,,10807,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,122.83,2,2,1,有,無,7960000,66484,坡道平面,24.16,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.39,商,,,10807,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,122.83,2,2,1,有,無,8010000,66484,坡道平面,24.16,1450000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.39,商,,,10808,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,122.83,2,2,1,有,無,8010000,66484,坡道平面,24.16,1450000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,24.17,住,,,10901,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,182.71,4,1,2,有,無,11780000,66538,坡道平面,26.71,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,24.17,住,,,10906,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,182.71,4,1,2,有,無,11680000,66538,坡道平面,26.71,1300000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,24.17,住,,,10901,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,182.71,4,1,2,有,無,11780000,66538,坡道平面,26.71,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.36,商,,,10809,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,0,122.59,2,2,1,有,無,7950000,66545,坡道平面,24.16,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,18.14,商,,,10902,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,193.48,4,2,2,有,無,12500000,66651,坡道平面,26.94,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,18.14,商,,,0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,193.48,4,2,2,有,無,12450000,66651,坡道平面,26.94,1350000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,24.17,住,,,10902,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,182.71,4,1,2,有,無,11800000,66667,坡道平面,26.71,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.39,商,,,10812,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,122.83,2,2,1,有,無,7980000,66687,坡道平面,24.16,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.39,商,,,10812,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,122.83,2,2,1,有,無,7980000,66687,坡道平面,24.16,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.39,商,,,10812,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,122.83,2,2,1,有,無,8030000,66687,坡道平面,24.16,1450000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,14.88,商,,,10902,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,163.39,3,2,2,有,無,10450000,66691,坡道平面,26.94,1350000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,13.01,商,,,10807,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,106.49,2,2,1,有,無,6850000,66726,坡道機械,17.32,900000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,13.48,商,,,10903,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,150.54,3,2,2,有,無,9450000,66748,坡道平面,26.94,1200000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,13.01,商,,,10811,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,113.23,2,2,1,有,無,7300000,66801,坡道平面,24.16,1350000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.36,商,,,10812,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,0,122.59,2,2,1,有,無,7980000,66850,坡道平面,24.16,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.36,商,,,10901,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,122.59,2,2,1,有,無,8030000,66850,坡道平面,24.16,1450000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,24.17,住,,,10901,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,182.71,4,1,2,有,無,11730000,66859,坡道平面,26.71,1300000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,19.06,住,,,10811,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,150.84,3,1,2,有,無,9600000,66865,坡道平面,26.71,1300000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.39,商,,,10808,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,122.83,2,2,1,有,無,8050000,66890,坡道平面,24.16,1450000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.39,商,,,10807,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,122.83,2,2,1,有,無,8000000,66890,坡道平面,24.16,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,14.84,商,,,10905,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,163.26,3,2,2,有,無,10520000,66901,坡道平面,26.94,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,13.51,商,,,10903,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,176.66,3,2,2,有,無,10850000,66941,坡道平面,52.67,2550000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,14.98,商,,,10902,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,164.33,3,2,2,有,無,10550000,66963,坡道平面,26.94,1350000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,20.92,住,,,10810,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,162.27,3,1,2,有,無,10280000,66981,坡道平面,26.71,1200000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,13.89,商,,,10809,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,0,112.57,2,2,1,有,無,7180000,66982,坡道機械,17.32,800000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,24.17,住,,,10908,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,185.46,4,1,2,有,無,11900000,66987,坡道平面,29.46,1450000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,14.12,商,,,10908,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,156.49,3,2,2,有,無,9980000,67001,坡道平面,26.94,1300000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,18.14,商,,,10903,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,193.48,4,2,2,有,無,12560000,67011,坡道平面,26.94,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.33,商,,,10903,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,115.5,2,2,1,有,無,7380000,67020,坡道機械,17.32,800000,,2(資料揭露)
